,Title,Content,Abbreviation,date,Company_Name,titel_Sentiment,Content_Sentiment
10,Super Investors Just Bought These Stocks,Every quarter we get to see what the best of the best have bought and sold.,BABA,2024-02-15,Alibaba Group Holding Limited,1,1
11,‘The Big Short’s’ Michael Burry Doubled Down on Alibaba Stock and JD.com. Should You?,Burry’s Scion Asset Management had the Chinese e-commerce stocks as the top holdings in his fund at the end of 2023.,BABA,2024-02-15,Alibaba Group Holding Limited,0,1
12,"The Zacks Analyst Blog Highlights Alibaba, General Electric, Honeywell International, Palo Alto Networks and Mondelez International","Alibaba, General Electric, Honeywell International, Palo Alto Networks and Mondelez International are part of the Zacks top Analyst Blog.",BABA,2024-02-15,Alibaba Group Holding Limited,1,1
13,Beware of These 3 Chinese Stocks: A Must-Avoid List,"Last week, I talked about how emerging market investors are increasingly leaving Chinese stocks out in the cold. If you’re a China bull, you may argue that including Chinese stocks as part of a wider “emerging market” category isn’t fair to those skewing further left on an emerging/developed market spectrum. And that’s a fair point. As I said in that article, China’s 30% share of the overall emerging market sphere reduces the impact of smaller-cap companies in, for example, Brazil, in favor of a",BABA,2024-02-15,Alibaba Group Holding Limited,0,1
14,3 Emerging Tech Titans Primed for a 400% Rally,"Among the blue-chip stocks, certain tech giants stand on the brink of a monumental surge. They are offering an edgy opportunity for value growth. As the world goes through digital transformations, three consumer discretionary companies emerge as titans, harnessing consumer demand to fuel their value ascent. This has led to this list of emerging tech stocks. Each company paints a compelling picture of potential, from the first pioneering e-commerce strategies to the second innovative logistics so",BABA,2024-02-15,Alibaba Group Holding Limited,0,1
15,China Used to Be the World’s Best Growth Story. Now It’s a Value Play.,"Consumer confidence has plummeted, Beijing is focused on security and stability, and global companies and investors are bracing for smaller gains.",BABA,2024-02-15,Alibaba Group Holding Limited,1,0
16,Michael Burry Adds to China Big Tech Wager as Stock Rout Deepens,"(Bloomberg) -- Michael Burry, the money manager made famous in the Big Short, added to wagers on Chinese tech giants Alibaba Group Holding Ltd. and JD.com Inc. in recent months even as a rout in Chinese shares deepened.Most Read from BloombergJapan Loses Its Spot as World's Third-Largest Economy as It Slips Into RecessionIsrael Quits Ceasefire Talks Over ‘Delusional’ Hamas DemandsThe Brutal Reality of Plunging Office Values Is HereTrump Eyes NATO Makeover, Hurried Peace in Ukraine If ElectedDip",BABA,2024-02-15,Alibaba Group Holding Limited,0,-1
17,"Top Research Reports for Alibaba, General Electric & Honeywell","Today's Research Daily features new research reports on 16 major stocks, including Alibaba Group Holding Limited (BABA), General Electric Company (GE) and Honeywell International Inc. (HON).",BABA,2024-02-14,Alibaba Group Holding Limited,1,1
18,"Michael Burry's Strategic Exits and New Positions Highlight Q4 Moves, Stellantis NV Takes a -7. ...",Insight into the Latest 13F Filing Reveals Burry's Investment Adjustments,BABA,2024-02-14,Alibaba Group Holding Limited,1,1
19,"Alibaba Stock Has Little to Celebrate During Lunar New Year, According to History",Lunar New Year means Chinese investors are mostly off this week—but that doesn’t mean it’s always a celebration for Alibaba stock. Shares in China’s e-commerce and cloud computing giant tend to underperform during the holiday period.,BABA,2024-02-14,Alibaba Group Holding Limited,-1,1
20,15 Biggest Cloud Providers by Market Share in 2024,"In this article, we will look at the 15 biggest cloud providers by market share in 2024. We have also discussed the latest revenue and growth of top cloud providers. If you want to skip our detailed analysis, head straight to the 5 Biggest Cloud Providers by Market Share in 2024. The COVID-19 pandemic has […]",TCEHY,2024-02-20,Tencent Holdings Limited,0,1
21,South Korea's major video gaming companies bet big on China's continued openness to franchises with proven track record overseas,"A version of this article was first published by The Korea Times in a partnership with the South China Morning Post. South Korea's major video gaming companies see bright prospects for their operations in mainland China on the back of recently granted licences, according to industry insiders and analysts, after grappling with a regulatory crackdown and geopolitical risks in the market over the past few years. Titles from Nexon, NCSoft Corp and Netmarble Corp - the top three game publishers in So",TCEHY,2024-02-14,Tencent Holdings Limited,1,1
22,3 Blue-Chip Stocks to Buy for the Upcoming AI Wars,"Last month, the writers at InvestorPlace.com and I recommended four stocks to buy for the coming “AI Wars.” Governments worldwide know that artificial intelligence has incredible potential, and everyone is racing to come out ahead. The United Kingdom has promised to pour $1.3 billion over the next five years into AI and supercomputing, while China will put in double that amount. If you include government subsidies of chip factories (the most capital-intensive part of AI investment), roughly $120",TCEHY,2024-02-12,Tencent Holdings Limited,0,1
23,ByteDance’s China Chief Resigns After CEO Seeks Greater Urgency,"(Bloomberg) -- The head of ByteDance Ltd.’s China operations is stepping down, a week after Chief Executive Officer Liang Rubo said the company needed to avoid complacency and make up lost ground in the AI race.Most Read from BloombergMusk Says Putin Can’t Lose in Ukraine, Opposes Senate BillWall Street Roiled by ‘Still Sticky’ CPI Signals: Markets WrapPutin Seeks Revenge on a World Order He Once Wanted to JoinTrump Asks Supreme Court to Keep DC Election Trial on HoldRetail Traders Are Losing Bi",TCEHY,2024-02-07,Tencent Holdings Limited,1,0
24,Tencent-backed video game live-streamers Douyu and Huya deny merger rumours as ByteDance deal threatens their status,"Chinese video game live-streaming platform Douyu denied recent reports that it would finally be merging with main rival Huya - both backed by Tencent Holdings - but acknowledged the two firms are working together in some areas, according to local media reports. Douyu said on Monday that there are no merger plans between the two companies, according to The Paper, an online news organisation under state-backed Shanghai United Media Group. The fresh rumours have emerged more than three years after",TCEHY,2024-02-06,Tencent Holdings Limited,-1,-1
25,China's generative video race heats up,"On Monday, Tencent, the Chinese internet giant known for its video gaming empire and chat app WeChat, unveiled a new version of its open source video generation model DynamiCrafter on GitHub. It's a reminder that some of China's largest tech firms have been quietly ramping up efforts to make a dent in the text- and image-to-video space. Like other generative video tools on the market, DynamiCrafter uses the diffusion method to turn captions and still images into seconds-long videos. Inspired by",TCEHY,2024-02-06,Tencent Holdings Limited,0,-1
26,"Tencent working on mobile version of hit console game 'Elden Ring', sources say","China's Tencent Holdings has been working to adapt acclaimed action role-playing console game ""Elden Ring"" into a mobile version, three people familiar with the matter said, as it searches for a new hit to refresh its ageing stock of games.  The world's largest gaming company by revenue acquired the licensing rights for the game by FromSoftware in 2022 and set up a team of a few dozen people to work on a prototype, the same year it bought a 16% stake in the Japanese game maker, the people said.  Tencent did not disclose its plans to develop a mobile version of the game at the time.",TCEHY,2024-02-06,Tencent Holdings Limited,-1,-1
27,"High-Risk, High-Reward: 7 OTC Stocks That Could Make You Rich This Year","I cannot stress enough how risky OTC stocks or securities traded over the counter really are. For one thing, just the name OTC should ring some alarm bells. This designation means that these securities don’t trade on exchanges like the New York Stock Exchange or the Nasdaq. Instead, they trade via broker-dealer networks. And not all stock platforms support what’s otherwise known as the pink sheets. Second, many investors are shocked to discover the administrative costs tied to OTC stocks. Yes, m",TCEHY,2024-02-05,Tencent Holdings Limited,1,-1
28,Tencent takes control of Chinese gaming studio behind Swords of Legends franchise in latest diversification move,"Chinese social media and gaming giant Tencent Holdings has acquired a controlling stake in an established local video game studio, a move that fits with the company's revenue diversification strategy. By assuming control of Beijing-based Wangyuan Shengtang, a 15-year-old video game developer and publisher known for its Swords of Legends series, Tencent will gain access to the premium franchise and diversify its revenue stream, said Zhang Shule, game sector analyst with consultancy CBJ Think Tank",TCEHY,2024-02-05,Tencent Holdings Limited,1,-1
29,Next-Level Gaming: 3 Stocks to Buy for the Booming eSports Trend,"The eSports gaming stocks have captured the attention of investors, positioning themselves as a significant investment arena. Once considered a niche pastime, eSports has evolved into a global phenomenon with remarkable staying power. Notably, as per Statista’s projections, the global eSports market is set to reach a revenue of $4.3 billion in 2024. Further, the expected compound annual growth rate (CAGR) of 7.10% from 2024 to 2028. Additionally, Statista anticipates a substantial increase in us",TCEHY,2024-02-04,Tencent Holdings Limited,1,1
30,"China gaming: Beijing approves Dungeon & Fighter Mobile among imported titles, giving Tencent a boost","In a surprise move, China's gaming regulator approved a new batch of foreign video games on Friday, including hit title Dungeon & Fighter (DnF) Mobile to be operated in China by Tencent Holdings, as Beijing seeks to reassure the stock market after scrapping a controversial gaming regulation. The National Press and Publication Administration (NPPA), the agency in charge of licensing video games in China, published a list of 32 newly approved imported games on Thursday, including titles run by maj",TCEHY,2024-02-02,Tencent Holdings Limited,0,-1
31,Tencent axes Square Enix 'Nier' mobile game as it hunts for a new hit -sources,"Tencent halted the development of a highly anticipated mobile game based on Square Enix's ""Nier"" franchise in December, according to three people with knowledge of the matter, marking a setback in the Chinese gaming giant's hunt for new hits.  Shenzhen-based Tencent cancelled the project that had been in the works for nearly two years in part because it struggled to find a compelling monetisation model given the expensive development costs and franchise rights, according to the people, who were not authorised to speak publicly.  Tencent and Tokyo-based Square Enix, also the developer of the popular ""Final Fantasy"" franchise, declined to comment.",TCEHY,2024-02-02,Tencent Holdings Limited,-1,1
32,"Tencent, Nexon Soar After Surprise Approval for Marquee Game","(Bloomberg) -- Tencent Holdings Ltd. and Nexon Co. surged after Chinese regulators approved their Mobile DnF game, green-lighting a long-anticipated marquee title that had failed to pass regulatory muster for years.Most Read from BloombergDonald Trump Loses London Case Against Ex-MI6 Spy Over Kremlin DossierA $560 Billion Property Warning Hits Banks From NY to TokyoApple’s China Slump Deepens Even as Total Sales Grow AgainQQQ Up in Late Trading as Meta Soars, Apple Falls: Markets WrapApple China",TCEHY,2024-02-02,Tencent Holdings Limited,-1,-1
33,Senators speak out against tech CEOs on child safety issues,"Multiple tech CEOs, including Meta's Mark Zuckerberg (META), testified before the Senate Judiciary Committee to address child safety concerns on social media platforms. Tensions were high as senators entered a back-and-forth with the chief executives, grilling them over inaction to implement safety guidelines to protect younger users. Senator Richard Blumenthal (D-CT) and Senator Marsha Blackburn (R-TN), authors of the Kids Online Safety Act of 2023, join Yahoo Finance to discuss the key takeaways from the hearings and the importance of passing their bill. Senator Blumenthal affirms why his legislation is needed: ""They're making money because more eyeballs, more addictive content mean more advertising and more dollars to them. I think more than ever, I feel we need the Kids Online Safety Act to make sure that these tech executives are held accountable. And I will tell you, that as much as Mark Zuckerberg may have felt good about apologizing, or seeming to apologize, actions speak louder than words. And the actions of these tech companies is essentially to ignore the harm that they're doing and fail to act responsibly."" Senator Blackburn comments on the bipartisan sentiments held toward social media platforms: ""One of the things Senator Blumenthal and I have talked about regularly as we have worked on this specific legislation and others of us who have worked on privacy, online privacy, we have talked about how you have the army of lawyers and lobbyists that fight us on putting in place regulation. They're fighting because addiction is their business model. They have to have eyeballs locked on those screens in order to get their way, if you will, and to continue their existing business model."" For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live. Editor's note: This article was written by Nicholas Jacobino",TCEHY,2024-02-01,Tencent Holdings Limited,0,1
34,"Viral 'Pokemon with guns' game Palworld sparks cloud service race between Alibaba, Tencent in China","A popular video game developed by a Japanese studio has set off an unexpected cloud-computing race between Tencent Holdings and Alibaba Group Holding, as the two Chinese tech giants rush to draw players to their respective servers. Palworld, an open-world survival game developed by Pocketpair that lets players catch and raise creatures known as Pals to build structures and fight, has become a breakout hit since its release on game distribution platform Steam on January 19, selling more than 8 mi",TCEHY,2024-02-01,Tencent Holdings Limited,-1,-1
35,ByteDance’s CEO is mad at his employees for missing the AI wave. He’s the latest Chinese tech executive to fret about being too slow to adapt,"The company's CEO Liang Rubo said ByteDance was ""not sensitive enough to external changes"" like the rise of ChatGPT.",TCEHY,2024-02-01,Tencent Holdings Limited,-1,1
36,"Tencent CEO Pony Ma Shifts Focus to AI as Gaming Faces Tough Competition, Reveals New Plans","Tencent Holding Ltd’s (OTC:TCEHY) CEO, Pony Ma, acknowledges the gaming industry’s significant challenges while highlighting progress in AI development. At Tencent’s annual meeting in Shenzhen, Ma admitted that the company had become complacent in its gaming sector, allowing competitors to release new, successful games. The company, along with peers like Alibaba Group Holding Limited (NYSE:BABA), noted a significant reduction in their external investments as the economy battled a slowdown, regul",TCEHY,2024-01-30,Tencent Holdings Limited,-1,1
37,Tencent CEO Pony Ma asks fintech unit to cede share in payments market to avoid challenging banks,"Pony Ma Huateng, founder and chief executive of Tencent Holdings, told employees that the firm's financial technology unit needs to reduce its share in China's payments market, as the social media and video gaming giant tries to avoid ruffling the feathers of banks, according to Chinese media reports and a person familiar with the situation. At a staff meeting on Monday, Ma reviewed Tencent's business segments and said that the payment service was the only one that ""was requested to"" seek a smal",TCEHY,2024-01-30,Tencent Holdings Limited,1,1
38,Hong Kong 'comedy king' Stephen Chow to launch Douyin mini-drama series amid booming popularity of the format,"Hong Kong filmmaker Stephen Chow Sing-chi, a popular actor in mainland China known as the king of comedy, has inked a deal with Douyin, the Chinese version of TikTok, to make an exclusive series, as A-list talent and Big Tech join hands to take advantage of a mini-drama frenzy. The project - code-named ""9527"" in a reference to the 61-year-old comedian's 1993 film Flirting Scholar - will feature content from Chow as well as other ""outstanding young creators"", Douyin said in a statement posted to",TCEHY,2024-01-30,Tencent Holdings Limited,0,1
39,"ByteDance CEO wants to whip employees into shape, as they lack a 'sense of crisis' amid fierce competition at home and abroad","The chief executive of ByteDance, owner of TikTok and its Chinese sibling Douyin, said the company lacks a sense of crisis, which has made the Chinese social media giant slow and inefficient in the face of fierce competition. That introspection was made by Liang Rubo - co-founder of ByteDance who took over as its chief executive when fellow founder Zhang Yiming stepped down in 2021 - at an online speech on Tuesday before the company's employees, whom he urged to stay ""always day one"", referring",TCEHY,2024-01-30,Tencent Holdings Limited,0,-1
40,"This Little-Known Chinese Billionaire Went From Working In The Coal Mines To Being One Of The Most Powerful Bankers In The World, Commanding $3.5 Trillion In Assets","Jiang Jianqing, a name synonymous with the remarkable transformation of the Industrial and Commercial Bank of China (ICBC) into the world’s largest bank by assets, has a story that reads like a testament to resilience and visionary leadership. Born in Shanghai in 1953, Jiang’s early life was marked by the hardships of the Cultural Revolution during which he was sent to work in the fields of Jiangxi Province and the coal mines of Henan Province. This period of labor education, far from breaking h",IDCBY,2024-02-08,Industrial and Commercial Bank of China,1,1
41,"Fed, NYDFS fine Chinese bank ICBC $32.4M","“Regulated institutions must be held accountable for failing to adhere to New York’s rigorous legal and regulatory standards,” NYDFS Superintendent Adrienne Harris said Friday.",IDCBY,2024-01-22,Industrial and Commercial Bank of China,1,1
42,ICBC Fined $32 Million by New York’s Financial Regulator and Fed for Compliance Failures,Industrial & Commercial Bank of China will pay about $32 million to resolve investigations into alleged compliance problems at the bank’s New York branch.,IDCBY,2024-01-19,Industrial and Commercial Bank of China,1,1
43,"ICBC to pay $32.4 million to US regulators over AML lapses, supervisory information disclosure","The Industrial and Commercial Bank of China Ltd and its New York branch will pay $32.4 million in penalties for the unauthorized use and disclosure of confidential supervisory information, the Federal Reserve announced Friday.  The Fed said the joint action, taken with New York's Department of Financial Services (NYDFS), came after the bank disclosed information to a third party without regulatory approval.  In a separate statement, NYDFS said an ICBC employee disclosed that supervisory information to a foreign regulator.",IDCBY,2024-01-19,Industrial and Commercial Bank of China,0,1
44,Trump’s Businesses Got Millions From Foreign Governments While He Was President,A report by House Democrats says Donald Trump violated the Constitution by accepting at least $7.8 million in payments from foreign countries for leases and hotel stays while in office.,IDCBY,2024-01-04,Industrial and Commercial Bank of China,-1,-1
45,China’s Big Banks Cut Deposit Rates as Growth Plateaus,"China’s biggest banks are lowering the deposit rates offered to savers, a move that could pave the way for the central bank to make interest-rate cuts to spur economic growth.",IDCBY,2023-12-22,Industrial and Commercial Bank of China,0,1
46,ICBC’s Entree Onto Wall Street Looked Like a Bargain—Until Hackers Crippled Its U.S. Unit,The China megabank bought its U.S. broker-dealer 13 years ago for practically nothing. It got more than it bargained for.,IDCBY,2023-11-26,Industrial and Commercial Bank of China,0,0
47,ICBC partners wary to resume trading with bank after cyberattack - Bloomberg News,"Industrial and Commercial Bank of China (ICBC) has been unable to convince some market participants that it is safe to reconnect their computer networks to the bank's U.S. unit after a ransomware attack disrupted its systems, Bloomberg News reported on Wednesday.  ICBC did not immediately respond to Reuters' request for a comment.  ICBC's U.S. arm was hit by a ransomware attack earlier this month.",IDCBY,2023-11-22,Industrial and Commercial Bank of China,-1,0
48,World's Biggest Bank ICBC Still Faces Trader Wariness After Cyberattack,"(Bloomberg) -- Industrial & Commercial Bank of China Ltd., the world’s largest lender by assets, has been unable to convince some market participants that it’s safe to reconnect their computer networks to the bank’s US unit after a ransomware attack disrupted its systems, according to people familiar with the matter.Most Read from BloombergBillions Wiped Out as Stock-Safety Trade on Wall Street MisfiresMusk’s Cybertruck Is Already a Production Nightmare for TeslaSingapore High Court Grants Injun",IDCBY,2023-11-22,Industrial and Commercial Bank of China,0,1
49,20 Most Valuable Asian Companies Heading into 2024,"In this article, we will look into the 20 most valuable Asian companies heading into 2024. If you want to skip our detailed analysis, you can go directly to the 5 Most Valuable Asian Companies Heading into 2024. Asia is the world’s largest and most populous continent, with a rich culture and heritage. The region […]",IDCBY,2023-11-20,Industrial and Commercial Bank of China,0,1
50,Ransomware attack on China’s biggest bank may have hit US Treasury market,"A US unit of the Industrial and Commercial Bank of China (ICBC) was hit by a ransomware attack this week that disrupted some of its systems, reportedly hitting liquidity in US Treasuries which may have contributed to a brief market sell-off on Thursday.",IDCBY,2023-11-17,Industrial and Commercial Bank of China,0,0
51,Barclays flags Treasuries central clearing cybersecurity risks after ICBC hack,"A key reform proposed by the U.S. Securities and Exchange Commission to boost the use of central clearing for U.S. Treasuries could leave the market more exposed to cybersecurity risks, Barclays said, referring to the cyber hack of Industrial and Commercial Bank of China's U.S. broker-dealer last week.  The SEC central clearing rule, first proposed in September last year, would apply to the cash Treasury and repurchase agreements (repo) markets, where banks and other players such as hedge funds borrow short-term loans backed by Treasuries.  Under the rule, more trades would be sent to a clearing house, requiring counterparties to put up cash to guarantee execution in the event of defaults.",IDCBY,2023-11-15,Industrial and Commercial Bank of China,0,1
52,ICBC Flies Top Executives to US in Race to Contain Hack Fallout,"(Bloomberg) -- Within days of a cyberattack at its US unit, members of Industrial & Commercial Bank of China Ltd.’s management were on a plane. Most Read from BloombergAston Martin Owner Lawrence Stroll Sells F1 Team Stake at £1 Billion ValuationBacklash Spreads Over Musk’s Endorsement of Antisemitic PostAltman Ousted From OpenAI, Board Says It Lost ConfidenceHamas Mastermind Who Tricked Israel Is Top Target in Gaza TunnelsApple Plans to Make It Easier to Text Between iPhones and AndroidsOfficia",IDCBY,2023-11-14,Industrial and Commercial Bank of China,1,1
53,UPDATE 2-Gang says ICBC paid ransom over hack that disrupted US Treasury market,"China's biggest lender, the Industrial and Commercial Bank of China, paid a ransom after it was hacked last week, a Lockbit ransomware gang representative said on Monday in a statement which Reuters was unable to independently verify.  ICBC, whose U.S. arm was hit by a ransomware attack that disrupted trades in the U.S. Treasury market on Nov. 9, did not immediately respond to a request for comment.  The blackout at ICBC's U.S. broker-dealer left it temporarily owing BNY Mellon $9 billion, an amount many times larger than its net capital.",IDCBY,2023-11-13,Industrial and Commercial Bank of China,0,0
54,Gang says ICBC paid ransom over hack that disrupted US Treasury market,"LONDON (Reuters) -China's biggest lender, the Industrial and Commercial Bank of China, paid a ransom after it was hacked last week, a Lockbit ransomware gang representative said on Monday in a statement which Reuters was unable to independently verify.  ICBC, whose U.S. arm was hit by a ransomware attack that disrupted trades in the U.S. Treasury market on Nov. 9, did not immediately respond to a request for comment.  ""They paid a ransom, deal closed,"" the Lockbit representative told Reuters via Tox, an online messaging app.",IDCBY,2023-11-13,Industrial and Commercial Bank of China,0,-1
55,"ICBC paid ransom after hack that disrupted markets, cybercriminals say","China’s biggest lender, the Industrial and Commercial Bank of China (ICBC), has paid a ransom to cybercriminals who hacked the bank last week, a representative of the Lockbit ransomware gang said on Monday in a statement Reuters was unable to independently verify.  The bank's U.S. arm was hit by a ransomware attack that disrupted trades in the U.S. Treasury market last Thursday.  “They paid a ransom, deal closed,” the Lockbit representative told Reuters via Tox, an online messaging app.",IDCBY,2023-11-13,Industrial and Commercial Bank of China,0,-1
56,In the Market: Inside Wall Street's scramble after ICBC hack,"(Reuters) -The cyber hack of Industrial and Commercial Bank of China's U.S. broker-dealer was so extensive on Wednesday, even the corporate email stopped working and forced employees to switch to Google mail, according to two people familiar with the situation.  The blackout left the brokerage temporarily owing BNY Mellon $9 billion, an amount many times larger than its net capital, a measure of resources at hand to promptly satisfy claims.  ICBC's New York-based unit, called ICBC Financial Services, got a cash injection from its Chinese parent to help pay back BNY, and it manually processed trades with the custody bank's help, Reuters reported on Friday.",IDCBY,2023-11-13,Industrial and Commercial Bank of China,0,1
57,Brazen ransomware attack on US unit of Chinese banking giant has financial sector on alert,"A ransomware attack on a US unit of the powerful Industrial and Commercial Bank of China that may have contributed to a brief market sell-off on Thursday was a significant escalation for cybercriminals that underscored how big hacks can disrupt business for even the best-resourced companies, experts told CNN.",IDCBY,2023-11-10,Industrial and Commercial Bank of China,0,1
58,Yellen: no impact on US Treasury market from ICBC hack,"U.S. Treasury Secretary Janet Yellen on Friday said the ransomware attack on the Industrial and Commercial Bank of China that disrupted China's largest bank had not interfered with the market for U.S. government debt.  ""We have not seen an impact on the Treasury market,"" Yellen said, adding that she and China Vice Premier He Lifeng spoke about the issue during talks in San Francisco this week.  The ICBC's access to an electronic settlement platform for U.S. Treasury securities remained suspended on Friday, a day after confirmation of the ransomware attack.",IDCBY,2023-11-10,Industrial and Commercial Bank of China,0,0
59,UPDATE 1-Yellen: no impact on US Treasury market from ICBC hack,"U.S. Treasury Secretary Janet Yellen on Friday said the ransomware attack on the Industrial and Commercial Bank of China that disrupted China's largest bank had not interfered with the market for U.S. government debt.  ""We have not seen an impact on the Treasury market,"" Yellen said, adding that she and China Vice Premier He Lifeng spoke about the issue during talks in San Francisco this week.  The ICBC's access to an electronic settlement platform for U.S. Treasury securities remained suspended on Friday, a day after confirmation of the ransomware attack.",IDCBY,2023-11-10,Industrial and Commercial Bank of China,0,0
60,China Construction Bank Celebrates 25th Anniversary in Singapore,"China Construction Bank Corporation (""CCB"" or the ""Group"") Singapore Branch (""CCB Singapore"" or the ""Branch"") celebrated its 25th anniversary with the classical concert ""Rhapsody Melody – CCB Night of Classics"". The concert was performed by the Shanghai Philharmonic Orchestra on September 19, 2023 at Lee Foundation Theatre of Nanyang Academy of Fine Arts.",CICHY,2023-09-21,China Construction Bank Corporation,0,1
61,"Bank of Communications, China Merchants Bank report increasing bad loans amid property crisis","Two major Chinese banks reported a growing number of non-performing loans (NPLs) on their books in the first half of the year as China's worsening property-market crisis puts increasing strain on lenders. Both Bank of Communications, China's sixth-largest commercial bank in terms of assets, and China Merchants Bank reported rising NPLs, joining China Construction Bank (CCB) and Bank of East Asia, which issued similar reports on Thursday. Bank of Communications on Friday evening reported its NPLs",CICHY,2023-08-25,China Construction Bank Corporation,-1,1
62,China Construction Bank H1 profit up 3.36%,"China Construction Bank Corp (CCB), the first of the country's Big Five lenders to report half-year results this week, posted a 3.36% rise in first-half net profit on Wednesday.  China's second-biggest lender by assets saw profits rise to 167.34 billion yuan ($22.95 billion), a filing by the bank showed.  ""China is in a critical period of economic recovery and industrial upgrading, domestic demand is still insufficient, and the foundation for economic recovery still needs to be consolidated,"" CCB said in the filing.",CICHY,2023-08-23,China Construction Bank Corporation,0,1
63,China Builder Logan Faces Renewed Liquidation Risk in Hearing,(Bloomberg) -- Chinese builder Logan Group Co.’s representatives will appear at a Hong Kong court hearing Friday looking to avoid the same fate that recently befell its larger competitor China Evergrande Group — involuntary liquidation. Most Read from BloombergHawaii Rightly Rejects Supreme Court’s Gun NonsensePutin Steps Into US Race to Back ‘Old-Style’ Biden Over TrumpJapan Loses Its Spot as World's Third-Largest Economy as It Slips Into RecessionApple Readies AI Tool to Rival Microsoft’s GitH,3333.HK,2024-02-15,China Evergrande Group,0,-1
64,A 99% Bond Wipeout Hands Hedge Funds a Harsh Lesson on China,"(Bloomberg) -- From afar, China Evergrande Group had all the makings of a killer distressed-debt trade: $19 billion in defaulted offshore bonds; $242 billion in assets; and a government that appeared determined to prop up the country’s faltering property market. So US and European hedge funds piled into the debt, envisioning big payouts to juice their returns.Most Read from BloombergBiden’s Attempt to Address Memory Issue Backfires With New GaffeA 99% Bond Wipeout Hands Hedge Funds a Harsh Lesso",3333.HK,2024-02-08,China Evergrande Group,-1,-1
65,China Evergrande: the people behind the indebted developer's overhaul,"Restructuring experts from Alvarez & Marsal will rely on China connections and a track record of complicated corporate overhauls as they try to engineer an outcome for property giant Evergrande that will involve creditors, authorities and home buyers.  Tiffany Wong and Eddie Middleton, both managing directors  at A&amp;M, were appointed by a Hong Kong court last month after a liquidation petition was approved following about 18 months of talks with China Evergrande Group's offshore creditors.  Evergrande, founded in 1996 by Hui Ka Yan, grew to become the poster child of China's property boom in the first two decades of the 2000s.",3333.HK,2024-02-07,China Evergrande Group,-1,-1
